,Predictions
2022-06-17,2870.7247190046037
2022-06-18,3246.2559303059893
2022-06-19,4044.343905761719
2022-06-20,2349.3224084829176
2022-06-21,2724.300066383888
2022-06-22,3973.2621887253554
2022-06-23,2498.0528060046954
2022-06-24,3285.946975830078
2022-06-25,2907.892116483562
2022-06-26,3925.0510905273436
2022-06-27,2516.1253954345707
2022-06-28,2863.434577165876
2022-06-29,4460.323525097657
2022-06-30,3224.676486011904
2022-07-01,2578.7010340860998
2022-07-02,2443.8120082868295
2022-07-03,4272.029958984375
2022-07-04,3895.390634765625
2022-07-05,2798.216764804035
2022-07-06,4573.559118652343
2022-07-07,3295.1673359375
2022-07-08,4469.855738183594
2022-07-09,2930.450982586962
2022-07-10,4260.202127929688
2022-07-11,2601.8886274414062
2022-07-12,2956.334818115235
2022-07-13,4289.811908203125
2022-07-14,3078.392573730469
2022-07-15,4668.304500162761
2022-07-16,2905.9531725008887
2022-07-17,3729.1649552734375
2022-07-18,2872.9156142485112
2022-07-19,3223.49467882952
2022-07-20,4654.207551920574
2022-07-21,4122.918311979167
2022-07-22,2581.6893290630032
2022-07-23,2707.288793990845
2022-07-24,4193.491529589844
2022-07-25,2597.2124723795578
2022-07-26,2998.2802782412577
2022-07-27,3115.656040647088
2022-07-28,2839.1895775785906
2022-07-29,3338.2052400065104
2022-07-30,2806.329967668541
2022-07-31,3668.4464239420568
2022-08-01,3816.8498022460935
2022-08-02,2349.553285397678
2022-08-03,2433.18850376595
2022-08-04,3371.0701204388333
2022-08-05,2602.0455205078124
2022-08-06,2641.333589499434
2022-08-07,3279.8517934570314
2022-08-08,2363.401336170214
2022-08-09,2880.590359288
2022-08-10,4627.271361328125
2022-08-11,2398.114045916652
2022-08-12,4486.715758496093
2022-08-13,4433.613141520182
2022-08-14,2713.0508254948695
2022-08-15,4701.271362363871
2022-08-16,2636.8575961704805
2022-08-17,2904.877133216337
2022-08-18,2888.4464976306
2022-08-19,4546.07936344401
2022-08-20,2477.7691865780807
2022-08-21,4294.53514453125
2022-08-22,4108.092546386719
2022-08-23,3665.822935628255
2022-08-24,2792.5522254355783
2022-08-25,4480.843262796456
2022-08-26,4158.448559065755
2022-08-27,2271.170523730469
2022-08-28,2744.170792627535
2022-08-29,2573.5542870128806
2022-08-30,2365.2837377982064
2022-08-31,3042.755319864909
2022-09-01,2347.2660380053317
2022-09-02,2963.788442057292
2022-09-03,2783.781207758053
2022-09-04,2775.86687646319
2022-09-05,3171.2838290201826
2022-09-06,4423.702305501301
2022-09-07,2374.4056941406247
2022-09-08,2979.1835258930532
2022-09-09,3237.92097750651
2022-09-10,3824.605810546875
2022-09-11,2743.5885519362682
2022-09-12,2861.89553936477
2022-09-13,2658.920273231725
2022-09-14,2825.165102624759
2022-09-15,2474.7840730306875
2022-09-16,2857.01306017582
2022-09-17,4590.81253125
2022-09-18,4682.8406140625
2022-09-19,4538.950877718098
2022-09-20,2633.905421363467
2022-09-21,3113.6814581573963
2022-09-22,3475.183872558594
2022-09-23,3463.089107910156
2022-09-24,2724.175139867116
2022-09-25,2822.4484097704276
2022-09-26,3050.043959716797
2022-09-27,2894.7947197753024
2022-09-28,2271.425861914063
2022-09-29,2839.6749169840496
2022-09-30,2737.250498006959
2022-10-01,2680.8317058138555
2022-10-02,2930.353547137742
2022-10-03,2898.9955744059243
2022-10-04,2895.947396705176
2022-10-05,2751.8750449448094
2022-10-06,2656.453622393508
2022-10-07,4349.421875
2022-10-08,2793.333590536063
2022-10-09,4307.926830078125
2022-10-10,2428.609871707204
2022-10-11,2569.780599161784
2022-10-12,2557.9831949980235
2022-10-13,3193.0336648925777
2022-10-14,4482.615657104491
2022-10-15,2438.872216862719
2022-10-16,2277.4121543375654
2022-10-17,3702.2484846191405
2022-10-18,2545.0367199311754
2022-10-19,3241.0258293945312
2022-10-20,3694.702699707031
2022-10-21,2730.3042908026805
2022-10-22,2748.874521893814
2022-10-23,3247.056968416341
2022-10-24,2279.0872071614585
